satisfaction_level,last_evaluation,number_project,average_montly_hours,Work_accident,promotion_last_5years,salary,hire_date,move_date,end_date,leader_host,country_home,culture_home,country_host,culture_host,function_host,business Size_host,economic Perspective_host,fired_quit,buzz_bust
0.82,0.87,4,239,0,0,low,01-Jul-10,00-Jan-00,31-Oct-15,well placed talent,germany,consensual,france,hierarquical,marketing,lbu,neutral,quit,bust
0.4,0.49,2,135,0,0,low,22-Apr-12,30-Apr-12,01-Apr-16,well placed talent,france,hierarquical,united states,egalitarian,marketing,united states,positive,quit,bust
0.5,0.55,2,130,0,0,low,15-Sep-15,01-Apr-17,04-Aug-17,key talent,singapore,hierarquical,puerto rico,top-down,operations,lbu,neutral,quit,bust
0.5,0.55,2,132,0,0,low,13-Oct-03,26-Dec-11,29-Nov-15,key talent,france,hierarquical,united states,egalitarian,commercial,united states,positive,fired,bust
0.35,0.62,6,294,0,0,low,01-Jan-08,00-Jan-00,29-Jun-15,key talent,colombia,top-down,united states,egalitarian,medical,united states,positive,fired,bust
0.45,0.57,2,134,0,0,low,13-Jan-97,22-Aug-11,03-Jan-16,well placed talent,spain,hierarquical,great britain,top-down,commercial,lbu,positive,fired,bust
0.5,0.55,2,145,0,0,low,01-Aug-05,00-Jan-00,03-Aug-15,key talent,denmark,egalitarian,france,hierarquical,commercial,lbu,neutral,fired,bust
0.45,0.55,2,140,0,0,low,16-Oct-11,00-Jan-00,04-May-15,well placed talent,france,hierarquical,spain,hierarquical,communication,lbu,neutral,fired,bust
0.84,0.87,4,246,0,0,low,13-Jan-11,30-Sep-13,02-Oct-16,well placed talent,australia,egalitarian,singapore,hierarquical,marketing,sbu,positive,fired,bust
0.1,0.94,6,255,0,0,low,07-Jun-11,29-Feb-16,28-Feb-19,well placed talent,colombia,top-down,germany,consensual,finance,lbu,neutral,fired,bust
0.38,0.46,2,137,0,0,low,19-Dec-11,01-Aug-16,31-Jul-17,consistent,russia,hierarquical,united states,egalitarian,marketing,united states,positive,fired,bust
0.45,0.5,2,130,0,0,low,01-Apr-14,01-Aug-17,30-Jul-18,well placed talent,slovenia,consensual,united states,egalitarian,marketing,united states,positive,fired,bust
0.11,0.7,6,306,0,0,low,01-Apr-15,01-Apr-15,01-Apr-18,poor perfomer,china,hierarquical,singapore,hierarquical,communication,sbu,positive,fired,bust
0.41,0.54,2,152,0,0,low,21-Apr-87,31-Jul-06,02-Mar-15,well placed talent,new zealand,egalitarian,ireland,top-down,commercial,lbu,negative,quit,bust
0.87,0.88,5,269,0,0,low,17-Dec-18,01-Jan-19,31-Dec-21,well placed talent,united states,egalitarian,argentina,top-down,commercial,mbu,positive,quit,bust
0.5,0.55,2,158,0,0,low,01-May-05,00-Jan-00,28-Jul-15,key talent,denmark,egalitarian,united states,egalitarian,marketing,united states,positive,quit,bust
0.4,0.46,2,130,0,0,low,05-Jul-06,03-Nov-14,05-Apr-19,well placed talent,united states,egalitarian,france,hierarquical,human resources,lbu,neutral,quit,bust
0.1,0.8,7,281,0,0,low,24-Mar-08,01-Feb-16,31-Jul-19,well placed talent,united states,egalitarian,singapore,hierarquical,operations,sbu,positive,quit,bust
0.09,0.89,6,276,0,0,low,12-May-08,02-May-11,31-Dec-15,well placed talent,singapore,hierarquical,china,hierarquical,marketing,lbu,positive,quit,bust
0.9,0.74,3,182,0,0,low,28-Jul-08,01-Dec-14,01-Dec-15,consistent,australia,egalitarian,united states,egalitarian,marketing,united states,positive,quit,bust
0.4,0.55,2,147,0,0,low,05-Jan-09,03-Sep-12,03-Sep-17,well placed talent,ireland,top-down,united states,egalitarian,marketing,united states,positive,quit,bust
0.57,0.7,3,273,0,0,low,23-Feb-10,03-Aug-15,03-Aug-18,key talent,singapore,hierarquical,united states,egalitarian,medical,united states,positive,quit,bust
0.5,0.55,2,148,0,0,low,01-Jan-13,01-Nov-18,28-Feb-19,key talent,france,hierarquical,united arab emirates,hierarquical,compliance,lbu,negative,quit,bust
0.43,0.47,2,147,0,0,low,16-Jan-12,00-Jan-00,31-Aug-15,consistent,mexico,hierarquical,united states,egalitarian,market access,united states,positive,quit,bust
0.5,0.78,6,152,0,0,low,01-Jan-13,00-Jan-00,02-Nov-15,key talent,romania,consensual,france,hierarquical,commercial,lbu,neutral,quit,bust
0.44,0.55,2,135,0,0,low,07-Jul-14,29-Jun-15,31-Dec-15,consistent,united states,egalitarian,netherlands,consensual,finance,lbu,positive,quit,bust
0.38,0.55,2,134,0,0,low,06-Jan-14,01-Jun-15,01-Jun-16,consistent,united states,egalitarian,ireland,top-down,commercial,lbu,negative,quit,bust
0.39,0.54,2,132,0,0,low,06-Jan-14,29-Dec-14,23-Oct-15,consistent,united states,egalitarian,netherlands,consensual,finance,lbu,positive,quit,bust
0.1,0.92,7,307,0,0,low,25-Nov-02,30-May-11,14-Aug-16,well placed talent,united states,egalitarian,singapore,hierarquical,operations,sbu,positive,fired,bust
0.37,0.46,2,140,0,0,low,09-Sep-91,01-May-15,01-May-17,consistent,spain,hierarquical,colombia,top-down,commercial,mbu,positive,fired,bust
0.5,0.94,7,255,0,0,low,17-Sep-12,31-Mar-14,29-Aug-16,key talent,germany,consensual,singapore,hierarquical,commercial,sbu,positive,fired,bust
0.1,0.81,6,309,0,0,low,26-Sep-05,00-Jan-00,27-Sep-15,consistent,equador,hierarquical,united states,egalitarian,commercial,united states,positive,quit,bust
0.38,0.54,2,130,0,0,low,11-Feb-08,31-Aug-15,31-Aug-17,consistent,united states,egalitarian,singapore,hierarquical,finance,sbu,positive,quit,bust
0.9,1,4,225,0,0,low,30-Sep-08,00-Jan-00,01-Jun-15,consistent,united states,egalitarian,united arab emirates,hierarquical,human resources,lbu,negative,quit,bust
0.9,0.91,5,226,0,0,medium,02-Jul-09,28-Sep-09,01-Jan-17,consistent,peru,hierarquical,mexico,hierarquical,commercial,lbu,neutral,quit,bust
0.11,0.93,7,308,0,0,medium,01-Oct-12,03-Mar-14,03-Mar-17,consistent,france,hierarquical,netherlands,consensual,commercial,lbu,positive,quit,bust
0.1,0.7,6,244,0,0,medium,07-Jul-14,29-Jun-15,29-Dec-15,poor perfomer,united states,egalitarian,australia,egalitarian,finance,lbu,neutral,quit,bust
0.36,0.56,2,132,0,0,medium,28-May-13,02-May-16,28-Feb-18,consistent,united states,egalitarian,germany,consensual,operations,lbu,neutral,quit,bust
0.11,0.94,6,286,0,0,medium,28-Jul-14,28-Mar-16,28-Mar-17,well placed talent,united states,egalitarian,ireland,top-down,finance,lbu,negative,quit,bust
0.9,0.7,6,161,0,0,medium,13-Oct-14,29-Feb-16,02-Jun-17,consistent,singapore,hierarquical,united states,egalitarian,regulatory affairs,united states,positive,quit,bust
0.43,0.54,2,153,0,0,medium,01-Jun-15,01-Aug-16,01-Aug-17,consistent,japan,hierarquical,united states,egalitarian,market access,united states,positive,quit,bust
0.9,0.98,4,264,0,0,medium,04-Apr-16,30-May-16,15-Feb-18,well placed talent,singapore,hierarquical,united states,egalitarian,operations,united states,positive,quit,bust
0.76,0.86,5,223,1,0,medium,17-Jul-95,00-Jan-00,29-Jun-15,well placed talent,great britain,top-down,singapore,hierarquical,human resources,sbu,positive,fired,bust
0.43,0.5,2,135,0,0,medium,19-Feb-97,03-Jun-13,01-Jan-17,consistent,peru,hierarquical,mexico,hierarquical,commercial,lbu,neutral,fired,bust
0.74,0.99,2,277,0,0,medium,15-Mar-04,23-Dec-13,01-May-16,well placed talent,brazil,top-down,united states,egalitarian,marketing,united states,positive,fired,bust
0.35,0.77,5,275,0,0,medium,01-Jul-08,00-Jan-00,02-Mar-15,key talent,germany,consensual,france,hierarquical,communication,lbu,neutral,fired,bust
0.45,0.49,2,149,0,0,high,02-May-11,22-Apr-13,29-May-16,well placed talent,colombia,top-down,united states,egalitarian,market access,united states,positive,fired,bust
0.09,0.87,7,295,0,0,low,01-Apr-15,00-Jan-00,02-Mar-15,well placed talent,australia,egalitarian,venezuela,top-down,commercial,sbu,negative,fired,bust
0.11,0.97,6,277,0,0,medium,15-Oct-14,04-Jan-16,13-Apr-19,consistent,hong kong,consensual,malaysia,hierarquical,bts,sbu,neutral,fired,bust
0.11,0.79,7,306,0,0,medium,09-Jan-09,26-Dec-11,31-May-15,consistent,netherlands,consensual,united states,egalitarian,commercial,united states,positive,quit,bust
0.1,0.83,6,295,0,0,medium,05-Jul-06,03-Nov-14,05-Apr-19,well placed talent,united states,egalitarian,france,hierarquical,human resources,lbu,neutral,quit,bust
0.4,0.54,2,137,0,0,medium,03-Mar-08,00-Jan-00,02-Feb-15,well placed talent,ireland,top-down,great britain,top-down,marketing,lbu,positive,quit,bust
0.5,0.56,2,157,0,0,low,16-Sep-13,30-Jun-14,13-May-18,key talent,ireland,top-down,germany,consensual,operations,lbu,neutral,quit,bust
0.5,0.56,2,142,0,0,low,16-Jun-14,02-May-16,06-Dec-18,key talent,australia,egalitarian,singapore,hierarquical,medical,sbu,positive,quit,bust
0.45,0.54,2,140,0,0,low,07-Jul-14,29-Dec-14,21-Jul-17,well placed talent,united states,egalitarian,puerto rico,top-down,finance,lbu,neutral,quit,bust
0.38,0.49,2,151,0,0,low,08-Nov-04,29-Apr-13,29-Apr-16,consistent,united states,egalitarian,singapore,hierarquical,commercial,sbu,positive,no,buzz
0.9,0.59,4,139,0,1,low,27-Mar-00,01-Oct-12,28-Feb-16,consistent,united states,egalitarian,united states,egalitarian,finance,united states,positive,no,buzz
0.84,0.85,4,249,0,0,low,25-Aug-03,02-Sep-13,29-Feb-16,well placed talent,united states,egalitarian,singapore,hierarquical,marketing,sbu,positive,no,buzz
0.11,0.77,6,291,0,0,low,03-Feb-97,29-Dec-14,31-Dec-17,consistent,united states,egalitarian,ireland,top-down,commercial,lbu,negative,no,buzz
0.11,0.87,6,305,0,0,low,07-Jan-13,01-May-17,31-Jul-18,well placed talent,united states,egalitarian,germany,consensual,commercial,lbu,neutral,no,buzz
0.17,0.84,5,232,0,0,low,02-Mar-01,04-Aug-14,04-Aug-15,consistent,united states,egalitarian,great britain,top-down,legal,lbu,positive,no,buzz
0.44,0.45,2,132,0,0,low,04-Sep-91,01-Jun-15,01-Jun-18,consistent,dominican republic,hierarquical,mexico,hierarquical,medical,lbu,neutral,no,buzz
0.37,0.57,2,130,0,0,low,04-Mar-02,29-Feb-16,28-Feb-19,consistent,united states,egalitarian,singapore,hierarquical,marketing,sbu,positive,no,buzz
0.1,0.79,6,291,0,0,low,24-Jun-02,03-Aug-15,03-Aug-17,well placed talent,united states,egalitarian,ireland,top-down,human resources,lbu,negative,no,buzz
0.5,0.55,2,130,0,0,low,25-Sep-95,01-Sep-18,30-Nov-18,key talent,united states,egalitarian,singapore,hierarquical,regulatory affairs,sbu,positive,no,buzz
0.9,1,5,246,0,0,low,12-Jul-04,00-Jan-00,28-Sep-15,consistent,united states,egalitarian,netherlands,consensual,commercial,lbu,positive,no,buzz
0.42,0.48,2,143,0,0,low,23-Sep-96,28-Sep-15,31-Jul-20,consistent,united states,egalitarian,singapore,hierarquical,commercial,sbu,positive,no,buzz
0.46,0.55,2,129,0,0,low,01-Aug-02,04-Jul-11,01-Jan-17,consistent,netherlands,consensual,france,hierarquical,operations,lbu,neutral,no,buzz
0.35,0.83,6,255,0,0,low,14-Oct-96,30-Jan-12,01-Apr-16,key talent,germany,consensual,france,hierarquical,operations,lbu,neutral,no,buzz
0.37,0.51,2,155,0,0,low,27-Oct-99,28-Mar-16,30-Nov-17,consistent,united states,egalitarian,singapore,hierarquical,commercial,sbu,positive,no,buzz
0.1,0.77,6,265,0,0,low,27-Aug-07,02-May-16,01-May-19,consistent,united states,egalitarian,singapore,hierarquical,finance,sbu,positive,no,buzz
0.5,0.84,6,279,0,0,low,27-Oct-14,01-Mar-17,28-Feb-18,key talent,united states,egalitarian,singapore,hierarquical,commercial,sbu,positive,no,buzz
0.11,0.97,6,284,0,0,low,22-Mar-04,01-Sep-14,31-Aug-18,consistent,united states,egalitarian,ireland,top-down,medical,lbu,negative,no,buzz
0.9,1,5,221,0,0,medium,31-Mar-03,01-Oct-18,30-Sep-20,consistent,united states,egalitarian,singapore,hierarquical,finance,sbu,positive,no,buzz
0.38,0.52,2,154,0,0,medium,03-Jun-02,28-Sep-15,30-Sep-18,consistent,united states,egalitarian,united arab emirates,hierarquical,operations,lbu,negative,no,buzz
0.36,0.52,2,147,0,0,medium,15-May-95,04-Aug-14,31-May-18,well placed talent,united states,egalitarian,ireland,top-down,commercial,lbu,negative,no,buzz
0.42,0.46,2,150,0,0,medium,08-Aug-01,00-Jan-00,29-Dec-14,consistent,united states,egalitarian,ireland,top-down,commercial,lbu,negative,no,buzz
0.09,0.94,7,267,0,0,medium,22-Sep-03,27-Jun-16,30-Jun-18,consistent,united states,egalitarian,netherlands,consensual,marketing,lbu,positive,no,buzz
0.43,0.52,2,158,0,0,medium,12-May-97,03-Aug-15,31-Jul-20,consistent,united states,egalitarian,singapore,hierarquical,human resources,sbu,positive,no,buzz
0.24,0.46,7,224,0,0,medium,05-Feb-90,00-Jan-00,31-Aug-15,well placed talent,united states,egalitarian,sweden,consensual,marketing,mbu,positive,no,buzz
0.91,1,4,257,0,0,medium,12-Jul-93,01-Jul-18,30-Jun-21,key talent,united states,egalitarian,united states,egalitarian,commercial,united states,positive,no,buzz
0.44,0.5,2,148,0,0,medium,16-Sep-91,26-Dec-11,28-Feb-17,well placed talent,belgium,consensual,united states,egalitarian,marketing,united states,positive,no,buzz
0.71,0.87,3,177,0,0,medium,21-Nov-94,02-Mar-15,31-Jul-19,well placed talent,united states,egalitarian,singapore,hierarquical,marketing,sbu,positive,no,buzz
0.5,0.55,2,155,0,0,medium,01-Jul-07,21-Feb-11,30-Apr-19,key talent,germany,consensual,united states,egalitarian,operations,united states,positive,no,buzz
0.5,0.55,2,144,0,0,medium,19-Jun-00,03-Mar-14,01-May-16,key talent,united states,egalitarian,ireland,top-down,commercial,lbu,negative,no,buzz
0.35,0.85,6,289,0,0,high,21-Jun-99,28-Sep-15,28-Sep-18,key talent,united states,egalitarian,singapore,hierarquical,medical,sbu,positive,no,buzz
0.43,0.52,2,160,0,0,low,11-Apr-96,01-Dec-14,31-Aug-19,well placed talent,united states,egalitarian,ireland,top-down,commercial,lbu,negative,no,buzz
0.9,0.96,4,258,0,0,medium,06-Sep-11,31-Aug-15,30-Aug-19,key talent,united states,egalitarian,china,hierarquical,commercial,lbu,positive,no,buzz
0.84,1,5,234,0,0,medium,26-Sep-11,03-Mar-14,00-Jan-00,well placed talent,united states,egalitarian,singapore,hierarquical,communication,sbu,positive,no,buzz
0.37,0.48,2,137,0,0,medium,16-Dec-91,30-Nov-15,30-Jun-18,well placed talent,united states,egalitarian,singapore,hierarquical,marketing,sbu,positive,no,buzz
0.86,0.68,5,263,0,0,medium,05-Aug-02,03-Aug-15,03-Aug-18,well placed talent,united states,egalitarian,sweden,consensual,finance,mbu,positive,no,buzz
0.11,0.84,6,251,0,0,low,15-May-95,01-Dec-14,31-Dec-18,consistent,argentina,top-down,colombia,top-down,marketing,mbu,positive,no,buzz
0.37,0.57,2,133,0,0,low,09-Mar-98,02-Mar-15,01-Mar-20,well placed talent,united states,egalitarian,united states,egalitarian,marketing,united states,positive,no,buzz
0.4,0.46,2,132,0,0,low,30-Dec-13,30-Dec-13,30-Dec-18,poor perfomer,thailand,hierarquical,singapore,hierarquical,communication,sbu,positive,no,buzz
0.14,0.62,4,158,1,0,low,24-Jul-00,02-May-16,02-May-19,well placed talent,united states,egalitarian,united states,egalitarian,commercial,united states,positive,no,buzz
0.4,0.46,2,135,0,0,low,15-Aug-05,02-Nov-15,02-Nov-18,well placed talent,united states,egalitarian,france,hierarquical,commercial,lbu,neutral,no,buzz
0.75,1,4,216,0,0,low,01-Sep-15,01-Oct-17,30-Sep-22,key talent,singapore,hierarquical,united states,egalitarian,marketing,united states,positive,no,buzz
0.11,0.84,6,300,1,0,low,09-Feb-98,29-Jun-09,31-Dec-18,well placed talent,united states,egalitarian,singapore,hierarquical,human resources,sbu,positive,no,buzz
0.46,0.49,2,138,0,0,low,23-Jun-14,01-Aug-18,31-Jul-20,well placed talent,united states,egalitarian,singapore,hierarquical,operations,sbu,positive,no,buzz
0.11,0.92,6,260,0,0,low,01-May-88,03-Aug-15,03-Aug-18,well placed talent,united states,egalitarian,brazil,top-down,marketing,lbu,neutral,no,buzz
0.38,0.49,2,132,0,0,low,20-Jun-05,01-Sep-18,31-Aug-19,consistent,united states,egalitarian,germany,consensual,marketing,lbu,neutral,no,buzz
0.7,0.89,3,183,0,0,low,13-Jun-05,01-Nov-18,31-Oct-20,well placed talent,united states,egalitarian,france,hierarquical,marketing,lbu,neutral,no,buzz
0.35,0.82,6,250,0,0,low,15-Aug-05,00-Jan-00,01-Dec-14,key talent,united states,egalitarian,germany,consensual,medical,lbu,neutral,no,buzz
0.5,0.55,2,151,0,0,low,17-Oct-05,01-Nov-17,31-Oct-19,key talent,united states,egalitarian,japan,hierarquical,compliance,lbu,neutral,no,buzz
0.1,0.83,6,292,0,0,low,30-Oct-01,01-Sep-14,01-Sep-17,consistent,ireland,top-down,singapore,hierarquical,market access,sbu,positive,no,buzz
0.5,0.57,2,140,0,0,low,08-Sep-04,01-Aug-18,31-Jul-20,key talent,ireland,top-down,united states,egalitarian,commercial,united states,positive,no,buzz
0.9,1,5,221,0,0,low,04-Feb-02,03-Oct-11,03-Aug-15,consistent,ireland,top-down,united states,egalitarian,finance,united states,positive,no,buzz
0.44,0.51,2,138,0,0,low,13-Feb-95,28-Sep-15,31-Aug-20,consistent,italy,hierarquical,ireland,top-down,commercial,lbu,negative,no,buzz
0.36,0.5,2,132,0,0,low,01-Dec-07,28-Sep-15,28-Sep-18,consistent,taiwan,hierarquical,australia,egalitarian,finance,lbu,neutral,no,buzz
0.31,0.84,7,133,0,0,low,01-Oct-01,00-Jan-00,03-Nov-14,well placed talent,canada,egalitarian,united states,egalitarian,operations,united states,positive,no,buzz
0.1,0.84,6,283,1,0,low,26-Jun-95,00-Jan-00,01-Nov-14,consistent,canada,egalitarian,great britain,top-down,commercial,lbu,positive,no,buzz
0.5,0.55,2,129,0,0,low,12-Dec-01,26-Aug-13,08-Jul-18,key talent,canada,egalitarian,united states,egalitarian,commercial,united states,positive,no,buzz
0.8,1,4,249,0,0,low,13-Mar-06,00-Jan-00,29-Dec-14,consistent,united states,egalitarian,singapore,hierarquical,commercial,sbu,positive,no,buzz
0.8,0.87,5,257,0,0,low,06-Mar-06,01-Aug-17,23-Apr-20,consistent,united states,egalitarian,ireland,top-down,finance,lbu,negative,no,buzz
0.09,0.96,6,245,0,0,low,01-Dec-94,04-Apr-11,01-Oct-16,consistent,guatemala,hierarquical,france,hierarquical,human resources,lbu,neutral,no,buzz
0.45,0.53,2,155,0,0,low,01-Jul-11,29-Feb-16,01-Dec-18,consistent,colombia,top-down,guatemala,hierarquical,commercial,sbu,neutral,no,buzz
0.11,0.8,6,256,0,0,low,01-Jun-04,30-Mar-15,31-Mar-18,consistent,belgium,consensual,portugal,top-down,commercial,sbu,positive,no,buzz
0.37,0.47,2,152,0,0,low,01-Jan-02,01-Apr-13,00-Jan-00,poor perfomer,italy,hierarquical,france,hierarquical,finance,lbu,neutral,no,buzz
0.9,0.99,4,267,0,0,low,01-Jun-99,02-Feb-15,31-Jan-16,consistent,germany,consensual,ireland,top-down,operations,lbu,negative,no,buzz
0.41,0.46,2,151,0,0,low,01-May-95,02-Aug-10,03-Jan-16,well placed talent,great britain,top-down,united states,egalitarian,finance,united states,positive,no,buzz
0.9,0.92,4,239,0,0,low,01-Nov-96,01-Feb-16,31-Aug-20,consistent,germany,consensual,united states,egalitarian,regulatory affairs,united states,positive,no,buzz
0.11,0.87,6,306,0,0,low,03-Sep-01,29-Sep-14,30-Sep-17,consistent,italy,hierarquical,ireland,top-down,market access,lbu,negative,no,buzz
0.84,0.88,4,263,1,0,low,01-Oct-99,28-Sep-15,30-Sep-19,well placed talent,germany,consensual,switzerland,egalitarian,operations,lbu,neutral,no,buzz
0.39,0.5,2,147,0,0,low,01-Aug-05,31-Aug-15,31-Aug-19,well placed talent,germany,consensual,united states,egalitarian,human resources,united states,positive,no,buzz
0.11,0.91,6,278,0,0,low,09-Sep-91,04-Apr-11,00-Jan-00,consistent,italy,hierarquical,france,hierarquical,commercial,lbu,neutral,no,buzz
0.45,0.56,2,154,0,0,low,05-Oct-09,30-Mar-15,31-Mar-18,well placed talent,colombia,top-down,sweden,consensual,marketing,mbu,positive,no,buzz
0.5,0.55,2,143,0,0,low,01-Jun-95,02-Jul-12,30-Jun-18,key talent,croatia,egalitarian,france,hierarquical,communication,lbu,neutral,no,buzz
0.4,0.52,2,155,0,0,low,05-Apr-04,03-Aug-15,03-Aug-19,well placed talent,israel,hierarquical,united states,egalitarian,market access,united states,positive,no,buzz
0.39,0.48,2,160,0,0,low,01-Mar-06,00-Jan-00,01-Jun-15,well placed talent,argentina,top-down,united states,egalitarian,commercial,united states,positive,no,buzz
0.11,0.8,6,304,0,0,low,04-Nov-13,24-Mar-14,31-Jan-16,consistent,austria,egalitarian,united states,egalitarian,bts,united states,positive,no,buzz
0.9,1,5,240,0,0,low,16-Mar-99,29-Dec-14,31-Dec-17,consistent,spain,hierarquical,italy,hierarquical,commercial,lbu,neutral,no,buzz
0.11,0.92,6,305,0,0,low,21-Jan-99,04-Mar-13,00-Jan-00,well placed talent,portugal,top-down,norway,consensual,human resources,sbu,positive,no,buzz
0.39,0.5,2,136,0,0,low,01-Jan-97,27-Aug-07,03-Aug-15,well placed talent,germany,consensual,united states,egalitarian,marketing,united states,positive,no,buzz
0.5,0.55,2,132,0,0,low,01-Jan-12,30-Jun-14,30-Jun-19,key talent,france,hierarquical,canada,egalitarian,operations,lbu,neutral,no,buzz
0.5,0.95,7,301,0,0,low,17-Jan-05,30-Nov-09,27-Sep-15,key talent,venezuela,top-down,mexico,hierarquical,medical,lbu,neutral,no,buzz
0.9,0.98,5,243,0,0,low,30-Jun-08,00-Jan-00,29-Dec-14,well placed talent,colombia,top-down,brazil,top-down,finance,lbu,neutral,no,buzz
0.45,0.51,2,147,0,0,low,02-Jan-96,01-May-19,30-Apr-20,consistent,hungary,consensual,united states,egalitarian,commercial,united states,positive,no,buzz
0.9,0.89,5,239,0,0,low,03-Apr-06,01-Feb-16,31-Dec-19,consistent,taiwan,hierarquical,china,hierarquical,finance,lbu,positive,no,buzz
0.9,0.99,5,260,0,0,low,16-May-05,04-Nov-13,04-Nov-18,well placed talent,spain,hierarquical,united states,egalitarian,marketing,united states,positive,no,buzz
0.11,0.84,7,296,0,0,low,14-Nov-94,01-Aug-16,31-Jul-17,consistent,italy,hierarquical,ireland,top-down,commercial,lbu,negative,no,buzz
0.43,0.55,2,129,0,0,low,08-Jul-02,00-Jan-00,04-May-15,well placed talent,brazil,top-down,mexico,hierarquical,commercial,lbu,neutral,no,buzz
0.31,0.54,5,132,0,0,low,22-Jan-02,01-Jan-18,30-Sep-19,consistent,spain,hierarquical,great britain,top-down,legal,lbu,positive,no,buzz
0.32,0.5,2,135,0,0,low,01-Apr-05,01-Sep-14,31-Jul-18,consistent,italy,hierarquical,singapore,hierarquical,medical,sbu,positive,no,buzz
0.45,0.57,2,158,0,0,low,01-Dec-04,24-Jan-11,29-Dec-14,consistent,germany,consensual,united states,egalitarian,marketing,united states,positive,no,buzz
